1,Action
2,Adventure
3,Sci-Fi
4,Mystery
5,Horror
6,Thriller
7,Animation
8,Comedy
9,Family
10,Fantasy
11,Drama
12,Music
13,Biography
14,Romance
15,History
16,Crime
17,Western
18,War
19,Musical
20,Sport
